region,country,year,rp,impact
OC,TON,1982,14.666666666666666,64293000.0
OC,TON,2014,11.0,38322000.0
OC,TON,1990,8.8,5600000.0
OC,TON,2011,7.333333333333333,3903000.0
OC,VUT,2015,44.0,554893000.0
OC,VUT,1985,22.0,470678000.0
OC,VUT,1987,14.666666666666666,64391000.0
OC,VUT,1993,11.0,12155000.0
OC,VUT,1981,8.8,3219000.0
OC,VUT,2014,7.333333333333333,2472000.0
OC,WSM,1991,44.0,597379000.0
OC,WSM,1990,22.0,447970000.0
OC,WSM,2012,14.666666666666666,169530000.0
OC,WSM,1989,11.0,36592000.0
ROW,BLR,1997,44.0,60166000.0
ROW,BRA,2023,44.0,705000000.0
ROW,BRA,2004,22.0,542288000.0
ROW,DEU,1996,44.0,933000.0
ROW,ESP,1984,44.0,2817149000.0
ROW,FRA,1996,44.0,19000.0
ROW,GBR,1996,44.0,559748000.0
ROW,IRL,1996,44.0,1866000.0
ROW,MAF,2017,44.0,4895098000.0
ROW,MAR,2005,44.0,75000.0
ROW,NOR,1993,44.0,6078000.0
ROW,PRK,2000,44.0,10197032000.0
ROW,PRK,1993,22.0,222846000.0
ROW,PRK,2019,14.666666666666666,27473000.0
ROW,PRK,2018,11.0,5408000.0
ROW,PRK,2002,8.8,813000.0
ROW,PRK,1997,7.333333333333333,18000.0
ROW,PRT,2018,44.0,134611000.0
ROW,REU,1980,44.0,237936000.0
ROW,REU,1989,22.0,118038000.0
ROW,REU,2014,14.666666666666666,105078000.0
ROW,REU,2002,11.0,81350000.0
ROW,REU,1987,8.8,5151000.0
ROW,RUS,1994,44.0,118464000.0
ROW,RUS,2004,22.0,9296000.0
ROW,RUS,2000,14.666666666666666,85000.0
ROW,SYC,2013,44.0,11683000.0
ROW,UKR,1997,44.0,61989000.0
ROW,UKR,1992,22.0,3337000.0
SI,COM,1983,44.0,67581000.0
SI,COM,1987,22.0,23181000.0
SI,COM,1985,14.666666666666666,15149000.0
SI,COM,1989,11.0,12361000.0
SI,MDG,1981,44.0,804660000.0
SI,MDG,1982,22.0,758173000.0
SI,MDG,1984,14.666666666666666,704287000.0
SI,MDG,1986,11.0,400501000.0
SI,MDG,2004,8.8,387349000.0
SI,MDG,2007,7.333333333333333,338750000.0
SI,MDG,2012,6.285714285714286,127466000.0
SI,MDG,1997,5.5,91160000.0
SI,MDG,2008,4.888888888888889,81556000.0
SI,MDG,1983,4.4,73458000.0
SI,MDG,2015,4.0,56798000.0
SI,MDG,2013,3.6666666666666665,31407000.0
SI,MDG,2019,3.3846153846153846,28618000.0
SI,MDG,2017,3.142857142857143,23879000.0
SI,MDG,1994,2.933333333333333,20139000.0
SI,MDG,2023,2.75,20000000.0
SI,MDG,2022,2.588235294117647,16000000.0
SI,MDG,2000,2.4444444444444446,15296000.0
SI,MDG,2009,2.3157894736842106,6821000.0
SI,MDG,2002,2.2,294000.0
SI,MOZ,2019,44.0,2552714000.0
SI,MOZ,1984,22.0,211286000.0
SI,MOZ,2008,14.666666666666666,27185000.0
SI,MOZ,1996,11.0,27054000.0
SI,MOZ,2017,8.8,20297000.0
SI,MOZ,2009,7.333333333333333,4092000.0
SI,MOZ,2000,6.285714285714286,1700000.0
SI,MOZ,1997,5.5,91000.0
SI,MUS,1994,44.0,267333000.0
SI,MUS,1989,22.0,141645000.0
SI,MUS,2002,14.666666666666666,81350000.0
SI,MUS,1982,11.0,2951000.0
SI,MWI,2023,44.0,506710000.0
SI,SWZ,1984,44.0,152554000.0
SI,ZAF,1984,44.0,259178000.0
SI,ZWE,2017,44.0,225652000.0
SI,ZWE,2007,22.0,1694000.0
WP1,IDN,2021,44.0,864022000.0
WP1,KHM,2020,44.0,113077000.0
WP1,KHM,1997,22.0,18000.0
WP1,LAO,2018,44.0,262229000.0
WP1,LAO,2009,22.0,136412000.0
WP1,LAO,1992,14.666666666666666,7613000.0
WP1,MYS,1996,44.0,97023000.0
WP1,MYS,1997,22.0,1823000.0
WP1,THA,1989,44.0,1067061000.0
WP1,THA,1996,22.0,279874000.0
