country,year,rp,impact
KOR,2004,3.7777777777777777,10218000.0
KOR,1997,3.4,3008000.0
LAO,2013,34.0,152008000.0
LAO,1992,17.0,45526000.0
LAO,2015,11.333333333333334,12347000.0
LAO,2000,8.5,1700000.0
LAO,2016,6.8,61000.0
LBY,1995,34.0,81046000.0
LBY,2019,17.0,8127000.0
LKA,2016,34.0,1463230000.0
LKA,2011,17.0,650520000.0
LKA,1992,11.333333333333334,527155000.0
LKA,2017,8.5,464437000.0
LKA,2010,6.8,140922000.0
LKA,1991,5.666666666666667,64465000.0
LKA,2000,4.857142857142857,5099000.0
LKA,2006,4.25,4355000.0
LKA,2013,3.7777777777777777,2513000.0
LKA,2014,3.4,2472000.0
LKA,2012,3.090909090909091,1530000.0
LKA,1995,2.8333333333333335,768000.0
LKA,1997,2.6153846153846154,766000.0
LKA,1993,2.4285714285714284,628000.0
LUX,1993,34.0,20259000.0
MAR,2002,34.0,325398000.0
MAR,1996,17.0,102620000.0
MAR,1995,11.333333333333334,17285000.0
MAR,2001,8.5,3636000.0
MDA,1994,34.0,592319000.0
MDA,1997,17.0,91160000.0
MDA,2005,11.333333333333334,11617000.0
MDA,1999,8.5,7028000.0
MDA,2002,6.8,1354000.0
MDG,2003,34.0,238631000.0
MEX,2007,34.0,4234370000.0
MEX,1993,17.0,193269000.0
MEX,1990,11.333333333333334,98553000.0
MEX,2010,8.5,21474000.0
MEX,2021,6.8,10800000.0
MEX,2004,5.666666666666667,5578000.0
MEX,1991,4.857142857142857,4298000.0
MKD,1995,34.0,470527000.0
MKD,2004,17.0,5578000.0
MMR,1991,34.0,171564000.0
MMR,2015,17.0,146934000.0
MMR,1992,11.333333333333334,114952000.0
MMR,2016,8.5,2439000.0
MNG,2009,34.0,128000.0
MOZ,2000,34.0,712433000.0
MOZ,2007,17.0,241359000.0
MOZ,2013,11.333333333333334,37688000.0
MOZ,1999,8.5,21786000.0
MOZ,2018,6.8,5944000.0
MRT,2013,34.0,2513000.0
MWI,2015,34.0,481549000.0
MWI,2000,17.0,1700000.0
MWI,1998,11.333333333333334,160000.0
MYS,2007,34.0,1366290000.0
MYS,2014,17.0,351083000.0
MYS,2016,11.333333333333334,160955000.0
MYS,2004,8.5,15494000.0
MYS,2020,6.8,7689000.0
MYS,2013,5.666666666666667,2513000.0
MYS,2022,4.857142857142857,240000.0
NAM,2011,34.0,15612000.0
NAM,2006,17.0,12325000.0
