country,cal_region2,event_id,impact,rp
CHN,WP3,2015211N13162,1215186571.0,1.0857142857142856
CHN,WP3,2015180N09160,890531131.4,1.0555555555555556
CHN,WP3,1996203N12152,873787160.8,1.027027027027027
CHN,WP3,1990171N11148,813357304.5,1.0
CHN,WP3,2016266N11144,777443896.3,0.9743589743589743
CHN,WP3,2010285N13145,721663688.8,0.95
CHN,WP3,2005268N19146,687829954.8,0.926829268292683
CHN,WP3,2003196N04150,631358675.5,0.9047619047619048
CHN,WP3,2015263N14148,626213912.6,0.8837209302325582
CHN,WP3,2009254N14130,605154271.7,0.8636363636363636
CHN,WP3,2000230N08139,600923967.1,0.8444444444444444
CHN,WP3,2010256N17137,512527270.1,0.8260869565217391
CHN,WP3,2013187N20156,501902623.4,0.8085106382978723
CHN,WP3,2014197N10137,500000000.0,0.7916666666666666
CHN,WP3,1990166N06141,464775602.6,0.7755102040816326
CHN,WP3,2013228N23124,410250840.0,0.76
CHN,WP3,2012201N15129,402859805.3,0.7450980392156863
CHN,WP3,2008169N08135,398941474.7,0.7307692307692307
CHN,WP3,1993298N11154,374529293.1,0.7169811320754716
CHN,WP3,2012225N16133,320818446.7,0.7037037037037037
CHN,WP3,2001206N14134,313047801.0,0.6909090909090909
CHN,WP3,2011266N13139,303152614.2,0.6785714285714286
CHN,WP3,2012296N06135,241226084.0,0.6666666666666666
CHN,WP3,2015183N13130,201790564.9,0.6551724137931034
CHN,WP3,2013178N09133,193123400.7,0.6440677966101694
CHN,WP3,1999230N12129,172470904.3,0.6333333333333333
CHN,WP3,2008206N22133,166415586.6,0.6229508196721312
CHN,WP3,2008229N13147,132220603.1,0.6129032258064516
CHN,WP3,2008104N08128,111703612.9,0.6031746031746031
CHN,WP3,2009270N10148,71797721.06,0.59375
CHN,WP3,2017236N15129,47967576.85,0.5846153846153846
CHN,WP3,1994153N19113,13002551.31,0.5671641791044776
CHN,WP3,2017195N16114,3083629.94,0.5588235294117647
CHN,WP3,2010191N12138,859123.4391,0.5507246376811594
CPV,NA1,2015242N12343,1281242.483,38.0
CUB,NA1,2017242N16333,10992753818.0,38.0
CUB,NA1,2008238N13293,2748386795.0,19.0
CUB,NA1,2005186N12299,2647941893.0,12.666666666666666
CUB,NA1,2004223N11301,2111247808.0,9.5
CUB,NA1,2008245N17323,1989662255.0,7.6
DMA,NA1,2017260N12310,1534596212.0,38.0
DMA,NA1,1989254N13340,56557045.94,19.0
DMA,NA1,2007225N12331,24849111.57,12.666666666666666
DOM,NA1,2017260N12310,54813712.03,38.0
DOM,NA1,2011233N15301,34283168.75,19.0
FJI,OC,2016041S14170,575865848.2,38.0
FJI,OC,1983054S15179,199598757.6,19.0
FJI,OC,1986356S07183,69498014.25,12.666666666666666
FJI,OC,2003011S09182,58076952.28,9.5
FJI,OC,1997061S08171,57809242.36,7.6
FJI,OC,2010069S12188,56286310.68,6.333333333333333
FJI,OC,2008026S12179,38176381.62,5.428571428571429
FJI,OC,1990327S07175,33532784.13,4.75
FJI,OC,2009346S10172,20772286.48,4.222222222222222
FJI,OC,1985070S17175,11785953.11,3.8
FJI,OC,2012346S14180,9481515.123,3.4545454545454546
FJI,OC,1980081S12170,8410828.037,3.1666666666666665
FJI,OC,2004098S15173,6575111.982999999,2.923076923076923
FJI,OC,1992338S04173,4683021.159,2.7142857142857144
FJI,OC,1983082S11180,3397170.854,2.533333333333333
FJI,OC,2007337S12186,858485.7575,2.375
FSM,OC,2015085N06162,11098409.57,38.0
GUM,OC,1997333N06194,327208271.8,38.0
GUM,OC,2004230N09172,1435830.957,19.0
HKG,WP4,2017232N19130,644890817.2,38.0
HKG,WP4,1992194N07140,614100138.3,19.0
HKG,WP4,1983239N10183,122247467.4,12.666666666666666
HKG,WP4,2008229N13147,505083.5374,9.5
HND,NA1,2007244N12303,10588404.38,38.0
