year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
1997,1997-0558-CHN,CHN,Riverine flood,2281195.0,1997-0558
1997,1997-0342-CHN,CHN,Riverine flood,1873161.0,1997-0342
1997,1997-0144-CHN,CHN,Riverine flood,291713.0,1997-0144
1997,1997-0562-CHN,CHN,Riverine flood,1823.0,1997-0562
1998,1998-0165-CHN,CHN,Riverine flood,53860097.0,1998-0165
1998,1998-0604-CHN,CHN,Riverine flood,1730704.0,1998-0604
1998,1998-0445-CHN,CHN,Flood (General),1301080.0,1998-0445
1998,1998-0174-CHN,CHN,Riverine flood,62298.0,1998-0174
1999,1999-0191-CHN,CHN,Riverine flood,14230852.0,1999-0191
1999,1999-0731-CHN,CHN,Flood (General),530582.0,1999-0731
1999,1999-0733-CHN,CHN,Flood (General),318349.0,1999-0733
1999,1999-0735-CHN,CHN,Flood (General),42517.0,1999-0735
2000,2000-0472-CHN,CHN,Flood (General),292315.0,2000-0472
2000,2000-0376-CHN,CHN,Riverine flood,101970.0,2000-0376
2000,2000-0372-CHN,CHN,Riverine flood,32291.0,2000-0372
2000,2000-0200-CHN,CHN,Riverine flood,20394.0,2000-0200
2000,2000-0920-CHN,CHN,Riverine flood,8498.0,2000-0920
2001,2001-0740-CHN,CHN,Riverine flood,276017.0,2001-0740
2001,2001-0741-CHN,CHN,Riverine flood,198335.0,2001-0741
2001,2001-0241-CHN,CHN,Riverine flood,128918.0,2001-0241
2001,2001-0305-CHN,CHN,Flood (General),39667.0,2001-0305
2001,2001-0360-CHN,CHN,Riverine flood,28098.0,2001-0360
2001,2001-0392-CHN,CHN,Riverine flood,8264.0,2001-0392
2002,2002-0305-CHN,CHN,Riverine flood,1534252.0,2002-0305
2002,2002-0483-CHN,CHN,Flood (General),878575.0,2002-0483
2002,2002-0278-CHN,CHN,Riverine flood,86230.0,2002-0278
2002,2002-0344-CHN,CHN,Flood (General),81350.0,2002-0344
2002,2002-0461-CHN,CHN,Riverine flood,62802.0,2002-0461
2002,2002-0498-CHN,CHN,Riverine flood,6833.0,2002-0498
2003,2003-0315-CHN,CHN,Riverine flood,12552010.0,2003-0315
2003,2003-0331-CHN,CHN,Riverine flood,7683930.0,2003-0331
2003,2003-0440-CHN,CHN,Riverine flood,3881737.0,2003-0440
2003,2003-0227-CHN,CHN,Riverine flood,254540.0,2003-0227
2003,2003-0724-CHN,CHN,Riverine flood,15336.0,2003-0724
2004,2004-0372-CHN,CHN,Riverine flood,1704334.0,2004-0372
2004,2004-0457-CHN,CHN,Riverine flood,729765.0,2004-0457
2004,2004-0284-CHN,CHN,Riverine flood,559332.0,2004-0284
2004,2004-0325-CHN,CHN,Riverine flood,82893.0,2004-0325
2005,2005-0344-CHN,CHN,Riverine flood,3236874.0,2005-0344
2005,2005-0475-CHN,CHN,Riverine flood,1368179.0,2005-0475
2005,2005-0334-CHN,CHN,Riverine flood,909621.0,2005-0334
2005,2005-0751-CHN,CHN,Riverine flood,406108.0,2005-0751
2005,2005-0600-CHN,CHN,Riverine flood,359653.0,2005-0600
2005,2005-0592-CHN,CHN,Riverine flood,358154.0,2005-0592
2005,2005-0730-CHN,CHN,Riverine flood,270788.0,2005-0730
2005,2005-0505-CHN,CHN,Riverine flood,839.0,2005-0505
2006,2006-0336-CHN,CHN,Riverine flood,985719.0,2006-0336
2006,2006-0264-CHN,CHN,Riverine flood,570526.0,2006-0264
2006,2006-0199-CHN,CHN,Riverine flood,483423.0,2006-0199
2006,2006-0732-CHN,CHN,Riverine flood,82748.0,2006-0732
2006,2006-0250-CHN,CHN,Riverine flood,52262.0,2006-0250
2006,2006-0367-CHN,CHN,Riverine flood,45003.0,2006-0367
2006,2006-0337-CHN,CHN,Riverine flood,15969.0,2006-0337
